timestamp,ai_service,model,temperature,run_number,num_interfaces,tokens_in,tokens_out
2025-04-08T14:24:15.580204,anthropic,claude-3-opus-20240229,0.0,1,15,12000,9000
2025-04-08T14:27:09.839540,anthropic,claude-3-opus-20240229,0.0,2,15,12000,9000
2025-04-08T14:30:05.883501,anthropic,claude-3-opus-20240229,0.0,3,15,12000,9000
2025-04-08T14:32:55.599211,anthropic,claude-3-opus-20240229,0.7,1,15,12000,9000
2025-04-08T14:35:48.220140,anthropic,claude-3-opus-20240229,0.7,2,15,12000,9000
2025-04-08T14:38:46.785318,anthropic,claude-3-opus-20240229,0.7,3,15,12000,9000
2025-04-08T14:41:43.640827,openai,gpt-4-turbo,0.0,1,15,10500,8250
2025-04-08T14:45:02.664671,openai,gpt-4-turbo,0.0,2,15,10500,8250
2025-04-08T14:48:22.483679,openai,gpt-4-turbo,0.0,3,15,10500,8250
2025-04-08T14:51:48.522022,openai,gpt-4-turbo,0.7,1,15,10500,8250
2025-04-08T14:55:14.453051,openai,gpt-4-turbo,0.7,2,15,10500,8250
2025-04-08T14:58:44.172092,openai,gpt-4-turbo,0.7,3,15,10500,8250
2025-04-08T15:02:37.075560,qwen,qwen-vl-max,0.0,1,15,10500,8250
2025-04-08T15:05:15.634877,qwen,qwen-vl-max,0.0,2,15,10500,8250
2025-04-08T15:07:53.732911,qwen,qwen-vl-max,0.0,3,15,10500,8250
2025-04-08T15:10:30.644383,qwen,qwen-vl-max,0.7,1,15,10500,8250
2025-04-08T15:13:06.731738,qwen,qwen-vl-max,0.7,2,15,10500,8250
2025-04-08T15:15:42.705374,qwen,qwen-vl-max,0.7,3,15,10500,8250
2025-04-08T15:18:18.068489,ollama,gemma3,0.0,1,15,10500,8250
2025-04-08T15:23:45.919784,ollama,gemma3,0.0,2,15,10500,8250
2025-04-08T15:28:19.431833,ollama,gemma3,0.0,3,15,10500,8250
2025-04-08T15:32:53.100453,ollama,gemma3,0.7,1,15,10500,8250
2025-04-08T15:37:28.481910,ollama,gemma3,0.7,2,15,10500,8250
2025-04-08T15:42:03.480568,ollama,gemma3,0.7,3,15,10500,8250
